Country,Country sp,Deaths,EW,Fips,ISO3166Alpha2,ISO3166Alpha3,Code,Iso3166,Lab Confirm,Last Available EpiWeek,Number of Records,PAHO Code Num,PAHO Code,Population,RegionLvl0,RegionLvl1,RegionLvl2,RegionLvl3,Region,Serotype,Severe Dengue,Suspected,TIS,Type,W Pais,Year
Virgin Islands (US),Islas Vírgenes (EUA),0,6,VQ,VI,VIR,850,850,9,6,1,483,VIS,103,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,9,VUS,final,VIS,2016
Virgin Islands (US),Islas Vírgenes (EUA),0,7,VQ,VI,VIR,850,850,9,7,1,483,VIS,103,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,9,VUS,final,VIS,2016
Virgin Islands (US),Islas Vírgenes (EUA),0,8,VQ,VI,VIR,850,850,9,8,1,483,VIS,103,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,9,VUS,final,VIS,2016
Virgin Islands (US),Islas Vírgenes (EUA),0,9,VQ,VI,VIR,850,850,9,9,1,483,VIS,103,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,9,VUS,final,VIS,2016
Virgin Islands (US),Islas Vírgenes (EUA),0,10,VQ,VI,VIR,850,850,9,10,1,483,VIS,103,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,9,VUS,final,VIS,2016
Virgin Islands (US),Islas Vírgenes (EUA),0,11,VQ,VI,VIR,850,850,9,11,1,483,VIS,103,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,9,VUS,final,VIS,2016
Virgin Islands (US),Islas Vírgenes (EUA),0,12,VQ,VI,VIR,850,850,9,12,1,483,VIS,103,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,9,VUS,final,VIS,2016
Virgin Islands (US),Islas Vírgenes (EUA),0,13,VQ,VI,VIR,850,850,9,13,1,483,VIS,103,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,9,VUS,final,VIS,2016
Virgin Islands (US),Islas Vírgenes (EUA),0,14,VQ,VI,VIR,850,850,9,14,1,483,VIS,103,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,9,VUS,final,VIS,2016
Virgin Islands (US),Islas Vírgenes (EUA),0,15,VQ,VI,VIR,850,850,9,15,1,483,VIS,103,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,9,VUS,final,VIS,2016
Virgin Islands (US),Islas Vírgenes (EUA),0,16,VQ,VI,VIR,850,850,9,16,1,483,VIS,103,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,9,VUS,final,VIS,2016
Virgin Islands (US),Islas Vírgenes (EUA),0,17,VQ,VI,VIR,850,850,9,17,1,483,VIS,103,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,9,VUS,final,VIS,2016
Virgin Islands (US),Islas Vírgenes (EUA),0,18,VQ,VI,VIR,850,850,9,18,1,483,VIS,103,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,9,VUS,final,VIS,2016
Virgin Islands (US),Islas Vírgenes (EUA),0,19,VQ,VI,VIR,850,850,9,19,1,483,VIS,103,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,9,VUS,final,VIS,2016
Virgin Islands (US),Islas Vírgenes (EUA),0,20,VQ,VI,VIR,850,850,9,20,1,483,VIS,103,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,9,VUS,final,VIS,2016
Virgin Islands (US),Islas Vírgenes (EUA),0,27,VQ,VI,VIR,850,850,9,27,1,483,VIS,103,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,9,VUS,final,VIS,2016
Virgin Islands (US),Islas Vírgenes (EUA),0,29,VQ,VI,VIR,850,850,9,29,1,483,VIS,103,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,9,VUS,final,VIS,2016
Virgin Islands (US),Islas Vírgenes (EUA),0,30,VQ,VI,VIR,850,850,9,30,1,483,VIS,103,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,9,VUS,final,VIS,2016
Virgin Islands (US),Islas Vírgenes (EUA),0,31,VQ,VI,VIR,850,850,9,31,1,483,VIS,103,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,9,VUS,final,VIS,2016
Virgin Islands (US),Islas Vírgenes (EUA),0,33,VQ,VI,VIR,850,850,9,33,1,483,VIS,103,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,9,VUS,final,VIS,2016
Virgin Islands (US),Islas Vírgenes (EUA),0,34,VQ,VI,VIR,850,850,9,34,1,483,VIS,103,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,9,VUS,final,VIS,2016
Virgin Islands (US),Islas Vírgenes (EUA),0,35,VQ,VI,VIR,850,850,9,35,1,483,VIS,103,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,9,VUS,final,VIS,2016
Virgin Islands (US),Islas Vírgenes (EUA),0,36,VQ,VI,VIR,850,850,9,36,1,483,VIS,103,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,9,VUS,final,VIS,2016
Virgin Islands (US),Islas Vírgenes (EUA),0,37,VQ,VI,VIR,850,850,9,37,1,483,VIS,103,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,9,VUS,final,VIS,2016
Argentina,Argentina,0,1,AR,AR,ARG,32,32,0,1,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,,0,0,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,2,AR,AR,ARG,32,32,1,2,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,2,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,3,AR,AR,ARG,32,32,1,3,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,4,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,4,AR,AR,ARG,32,32,5,4,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,9,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,5,AR,AR,ARG,32,32,5,5,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,19,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,6,AR,AR,ARG,32,32,5,6,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,23,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,7,AR,AR,ARG,32,32,6,7,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,23,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,8,AR,AR,ARG,32,32,6,8,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,26,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,9,AR,AR,ARG,32,32,11,9,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,34,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,10,AR,AR,ARG,32,32,20,10,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,54,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,11,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,12,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,13,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,14,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,15,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,16,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,17,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,18,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
