Country,Country sp,Deaths,EW,Fips,ISO3166Alpha2,ISO3166Alpha3,Code,Iso3166,Lab Confirm,Last Available EpiWeek,Number of Records,PAHO Code Num,PAHO Code,Population,RegionLvl0,RegionLvl1,RegionLvl2,RegionLvl3,Region,Serotype,Severe Dengue,Suspected,TIS,Type,W Pais,Year
Grenada,Granada,0,52,GJ,GD,GRD,308,308,239,52,1,457,GRE,112,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,239,GRE,Preliminar,GRD,2017
Guadeloupe,Guadalupe,0,52,GP,GP,GLP,312,312,1,46,1,459,GUA,450,AMR,LAC,LCR,LAM,LCR,UNKNOWN,0,540,GUA,Preliminar,GLP,2017
El Salvador,El Salvador,0,52,ES,SV,SLV,222,222,29,11,1,453,ELS,6378,AMR,LAC,CAI,LAM,CAI,UNKNOWN,0,787,ELS,Preliminar,SLV,2018
Guyana,Guyana,0,52,GY,GY,GUY,328,328,0,38,1,432,GUY,778,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,5,GUY,Preliminar,GUY,2017
Jamaica,Jamaica,0,52,JM,JM,JAM,388,388,14,52,1,464,JAM,2890,AMR,LAC,NLC,CAR,NLC,DEN 3,0,70,JAM,Preliminar,JAM,2017
Martinique,Martinica,0,52,MB,MQ,MTQ,474,474,8,46,1,491,MAR,385,AMR,LAC,LCR,LAM,LCR,DEN 2,0,113,MAR,Preliminar,MTQ,2017
Montserrat,Montserrat,0,52,MH,MS,MSR,500,500,0,52,1,465,MON,5,AMR,LAC,NLC,CAR,NLC,,0,0,MNT,Preliminar,MON,2017
Saint Barthelemy,San Bartolomé,0,52,TB,BL,BLM,652,652,0,46,1,652,,9,,,,,,UNKNOWN,0,55,,Preliminar,,2017
Saint Kitts and Nevis,Saint Kitts y Nevis,0,52,SC,KN,KNA,659,659,1,52,1,477,SKN,53,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,10,SCN,Preliminar,KNA,2017
Saint Lucia,Santa Lucía,0,52,ST,LC,LCA,662,662,66,52,1,481,SLU,165,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,66,STL,Preliminar,LCA,2017
Saint Martin,Isla de San Martín (Francia),0,52,RN,MF,MAF,663,663,0,30,1,663,,42,,,,,,UNKNOWN,0,157,,Preliminar,,2017
Saint Vincent and the Grenadines,San Vicente y las Granadinas,0,52,VC,VC,VCT,670,670,2,52,1,479,SVG,102,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,3,SVT,Preliminar,VCT,2017
Trinidad and Tobago,Trinidad y Tobago,0,52,TD,TT,TTO,780,780,8,52,1,478,TRT,1369,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,300,TRT,Preliminar,TTO,2017
Turks and Caicos Islands,Islas Turcas y Caicos,0,52,TK,TC,TCA,796,796,210,52,1,473,TUC,53,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,210,TCA,Preliminar,TUC,2017
Costa Rica,Costa Rica,0,52,CS,CR,CRI,188,188,0,52,1,443,COR,4857,AMR,LAC,CAI,LAM,CAI,"DEN 1,2,3",21,23319,COR,Final,CRI,2016
Costa Rica,Costa Rica,0,52,CS,CR,CRI,188,188,0,52,1,443,COR,5002,AMR,LAC,CAI,LAM,CAI,"DEN 1,2,3",6,17394,COR,Final,CRI,2015
Virgin Islands (US),Islas Vírgenes (EUA),0,52,VQ,VI,VIR,850,850,0,13,1,483,VIS,102,AMR,LAC,NLC,CAR,NLC,,0,0,VUS,Preliminar,VIS,2018
French Guiana,Guayana Francesa,0,52,FG,GF,GUF,254,254,0,8,1,456,FRG,283,AMR,LAC,LCR,LAM,LCR,UNKNOWN,0,115,FRG,Preliminar,GUF,2018
Guadeloupe,Guadalupe,0,52,GP,GP,GLP,312,312,0,5,1,459,GUA,450,AMR,LAC,LCR,LAM,LCR,UNKNOWN,0,8,GUA,Preliminar,GLP,2018
Brazil,Brasil,409,52,BR,BR,BRA,76,76,220537,52,1,430,BRA,202034,AMR,LAC,SAR,LAM,BRA,"DEN 1,2,3,4",687,590852,BRA,Preliminar,BRA,2014
Virgin Islands (UK),Islas Vírgenes (RU),0,52,VI,VG,VGB,92,92,59,44,1,436,VIK,33,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,205,VIB,Preliminar,VIR,2014
Canada,Canadá,0,52,CA,CA,CAN,124,124,0,52,1,437,CAN,0,AMR,NAR,NAR,NAR,NAR,,0,0,CAN,Preliminar,CAN,2014
Cayman Islands,Islas Caimán,0,52,CJ,KY,CYM,136,136,4,44,1,438,CAY,55,AMR,LAC,NLC,CAR,NLC,"DEN 1,3",0,105,CAY,Preliminar,CYM,2014
Chile,Chile,0,52,CI,CL,CHL,152,152,25,42,1,439,CHI,17773,AMR,LAC,SAR,LAM,SCR,UNKNOWN,0,25,CHI,Preliminar,CHL,2014
Colombia,Colombia,88,52,CO,CO,COL,170,170,46842,52,1,441,COL,48930,AMR,LAC,SAR,LAM,ANR,"DEN 1,2,3,4",2764,108291,COL,Preliminar,COL,2014
Costa Rica,Costa Rica,0,52,CS,CR,CRI,188,188,,52,1,443,COR,4938,AMR,LAC,CAI,LAM,CAI,"DEN 1,2,3",,11049,COR,final,CRI,2014
Curaçao,Curazao,0,52,UC,CW,CUW,531,531,20,36,1,531,CUR,148,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,194,CUR,Preliminar,CUW,2014
Dominica,Dominica,0,52,DO,DM,DMA,212,212,9,32,1,447,DOM,73,AMR,LAC,NLC,CAR,NLC,DEN 4,0,159,DOM,Preliminar,DMA,2014
Dominican Republic,República Dominicana,60,52,DR,DO,DOM,214,214,,52,1,448,DOR,10529,AMR,LAC,LCR,LAM,LCR,"DEN 1,2,4",420,6237,DOR,Preliminar,DOM,2014
Ecuador,Ecuador,11,52,EC,EC,ECU,218,218,15446,52,1,451,ECU,15983,AMR,LAC,SAR,LAM,ANR,"DEN 1,2,3,4",67,15446,ECU,Preliminar,ECU,2014
El Salvador,El Salvador,6,52,ES,SV,SLV,222,222,16087,52,1,453,ELS,6384,AMR,LAC,CAI,LAM,CAI,"DEN 1,2,3",184,53290,ELS,Preliminar,SLV,2014
French Guiana,Guayana Francesa,0,52,FG,GF,GUF,254,254,781,47,1,456,FRG,255,AMR,LAC,LCR,LAM,LCR,"DEN 1,2,4",7,1180,FRG,Preliminar,GUF,2014
Grenada,Granada,0,52,GJ,GD,GRD,308,308,38,48,1,457,GRE,110,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,38,GRE,Preliminar,GRD,2014
Guadeloupe,Guadalupe,0,52,GP,GP,GLP,312,312,878,48,1,459,GUA,468,AMR,LAC,LCR,LAM,LCR,"DEN 2,4",8,1397,GUA,Preliminar,GLP,2014
Guatemala,Guatemala,13,52,GT,GT,GTM,320,320,,52,1,458,GUT,15860,AMR,LAC,CAI,LAM,CAI,"DEN 1,2,3,4",440960,16640,GUT,Preliminar,GTM,2014
Guyana,Guyana,0,52,GY,GY,GUY,328,328,863,48,1,432,GUY,804,AMR,LAC,NLC,CAR,NLC,DEN 4,0,863,GUY,Preliminar,GUY,2014
Honduras,Honduras,5,52,HO,HN,HND,340,340,,52,1,462,HON,8261,AMR,LAC,CAI,LAM,CAI,"DEN 1,2,3",2302,42902,HON,Preliminar,HND,2014
Jamaica,Jamaica,0,52,JM,JM,JAM,388,388,72,52,1,464,JAM,2799,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,868,JAM,Preliminar,JAM,2014
Martinique,Martinica,2,52,MB,MQ,MTQ,474,474,710,48,1,491,MAR,405,AMR,LAC,LCR,LAM,LCR,"DEN 1,2,4",11,1680,MAR,Preliminar,MTQ,2014
Mexico,México,39,52,MX,MX,MEX,484,484,32021,52,1,466,MEX,123799,AMR,LAC,CAI,LAM,MEX,"DEN 1,2,3,4",8647,124505,MEX,Preliminar,MEX,2014
Montserrat,Montserrat,0,52,MH,MS,MSR,500,500,0,32,1,465,MON,5,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,7,MNT,Preliminar,MON,2014
Nicaragua,Nicaragua,0,52,NU,NI,NIC,558,558,1918,52,1,468,NIC,6169,AMR,LAC,CAI,LAM,CAI,"DEN 1,2,3,4",0,35123,NIC,Preliminar,NIC,2014
Panama,Panamá,9,52,PM,PA,PAN,591,591,2908,52,1,470,PAN,3926,AMR,LAC,CAI,LAM,CAI,"DEN 1,2,3",20,5300,PAN,Preliminar,PAN,2014
Paraguay,Paraguay,5,52,PA,PY,PRY,600,600,2601,52,1,472,PAR,6918,AMR,LAC,SAR,LAM,SCR,"DEN 1,2,4",5,10014,PAR,Preliminar,PRY,2014
Peru,Perú,31,52,PE,PE,PER,604,604,11548,52,1,474,PER,30769,AMR,LAC,SAR,LAM,ANR,"DEN 1,2,3,4",95,18853,PER,Preliminar,PER,2014
Puerto Rico,Puerto Rico,0,52,RQ,PR,PRI,630,630,473,52,1,475,PUR,3684,AMR,LAC,LCR,LAM,LCR,"DEN 1,2,4",2,8664,PUR,Preliminar,PRI,2014
Saint Barthelemy,San Bartolomé,0,52,TB,BL,BLM,652,652,56,48,1,652,,35,,,,,,UNKNOWN,0,56,,Preliminar,,2014
Saint Kitts and Nevis,Saint Kitts y Nevis,0,52,SC,KN,KNA,659,659,6,32,1,477,SKN,52,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,62,SCN,Preliminar,KNA,2014
Saint Lucia,Santa Lucía,0,52,ST,LC,LCA,662,662,88,48,1,481,SLU,163,AMR,LAC,NLC,CAR,NLC,DEN 4,0,165,STL,Preliminar,LCA,2014
Saint Martin,Isla de San Martín (Francia),0,52,RN,MF,MAF,663,663,404,48,1,663,,40,,,,,,UNKNOWN,1,404,,Preliminar,,2014
Saint Vincent and the Grenadines,San Vicente y las Granadinas,0,52,VC,VC,VCT,670,670,8,52,1,479,SVG,103,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,117,SVT,Preliminar,VCT,2014
Suriname,Suriname,0,52,NS,SR,SUR,740,740,4,44,1,476,SUR,544,AMR,LAC,NLC,CAR,NLC,DEN 2,0,19,SUR,Preliminar,SUR,2014
Trinidad and Tobago,Trinidad y Tobago,0,52,TD,TT,TTO,780,780,16,44,1,478,TRT,1344,AMR,LAC,NLC,CAR,NLC,"DEN 1,4",0,128,TRT,Preliminar,TTO,2014
Turks and Caicos Islands,Islas Turcas y Caicos,0,52,TK,TC,TCA,796,796,48,32,1,473,TUC,49,AMR,LAC,NLC,CAR,NLC,DEN 1,0,48,TCA,Preliminar,TUC,2014
United States of America,Estados Unidos de América,0,52,US,US,USA,840,840,668,52,1,480,USA,322583,AMR,NAR,NAR,NAR,NAR,UNKNOWN,0,668,USA,Preliminar,USA,2014
Uruguay,Uruguay,0,52,UY,UY,URY,858,858,0,52,1,482,URU,3419,AMR,LAC,SAR,LAM,SCR,,0,0,URU,Preliminar,URY,2014
Venezuela,Venezuela,0,52,VE,VE,VEN,862,862,70,44,1,484,VEN,30851,AMR,LAC,SAR,LAM,ANR,"DEN 1,2,3,4",187,75020,VEN,Preliminar,VEN,2014
Belize,Belice,,52,BH,BZ,BLZ,84,84,426,52,1,434,BEL,340,AMR,LAC,CAI,LAM,CAI,UNKNOWN,,5026,BLZ,Final,BLZ,2014
Belize,Belice,0,52,BH,BZ,BLZ,84,84,47,52,1,434,BEL,375,AMR,LAC,CAI,LAM,CAI,UNKNOWN,2,2966,BLZ,Preliminar,BLZ,2017
Belize,Belice,0,52,BH,BZ,BLZ,84,84,9,13,1,434,BEL,375,AMR,LAC,CAI,LAM,CAI,UNKNOWN,,294,BLZ,Preliminar,BLZ,2018
Antigua and Barbuda,Antigua y Barbuda,0,52,AC,AG,ATG,28,28,14,52,1,431,ANT,92,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,14,ANT,Preliminar,ATG,2015
Argentina,Argentina,0,52,AR,AR,ARG,32,32,1208,52,1,425,ARG,42155,AMR,LAC,SAR,LAM,SCR,"DEN 1,4",0,4774,ARG,Preliminar,ARG,2015
Bahamas,Bahamas,0,52,BF,BS,BHS,44,44,3,52,1,426,BAH,388,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,10,BAH,Preliminar,BHS,2015
Barbados,Barbados,1,52,BB,BB,BRB,52,52,119,52,1,427,BAR,291,AMR,LAC,NLC,CAR,NLC,DEN 1,1,391,BAR,Preliminar,BRB,2015
Bermuda,Bermuda,0,52,BD,BM,BMU,60,60,0,52,1,429,BER,70,AMR,NAR,NLC,NAR,NAR,,0,0,BER,Preliminar,BMU,2015
Virgin Islands (UK),Islas Vírgenes (RU),0,52,VI,VG,VGB,92,92,103,40,1,436,VIK,33,AMR,LAC,NLC,CAR,NLC,UNKNOWN,1,103,VIB,Preliminar,VIR,2015
Canada,Canadá,0,52,CA,CA,CAN,124,124,0,52,1,437,CAN,0,AMR,NAR,NAR,NAR,NAR,,0,0,CAN,Preliminar,CAN,2015
Cayman Islands,Islas Caimán,0,52,CJ,KY,CYM,136,136,6,52,1,438,CAY,56,AMR,LAC,NLC,CAR,NLC,"DEN 2,3,4",0,40,CAY,Preliminar,CYM,2015
Chile,Chile,0,52,CI,CL,CHL,152,152,7,52,1,439,CHI,17924,AMR,LAC,SAR,LAM,SCR,UNKNOWN,0,40,CHI,Preliminar,CHL,2015
Colombia,Colombia,155,52,CO,CO,COL,170,170,39475,52,1,441,COL,49529,AMR,LAC,SAR,LAM,ANR,"DEN 1,2,3,4",1421,96444,COL,Preliminar,COL,2015
Cuba,Cuba,0,52,CU,CU,CUB,192,192,1691,52,1,445,CUB,11249,AMR,LAC,LCR,LAM,LCR,"DEN 3,4",0,1691,CUB,Preliminar,CUB,2015
Dominica,Dominica,0,52,DO,DM,DMA,212,212,11,52,1,447,DOM,74,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,38,DOM,Preliminar,DMA,2015
Dominican Republic,República Dominicana,107,52,DR,DO,DOM,214,214,0,52,1,448,DOR,10652,AMR,LAC,LCR,LAM,LCR,"DEN 2,3,4",1854,17048,DOR,Preliminar,DOM,2015
Ecuador,Ecuador,8,52,EC,EC,ECU,218,218,1437,52,1,451,ECU,16226,AMR,LAC,SAR,LAM,ANR,"DEN 1,2,3,4",56,42667,ECU,Preliminar,ECU,2015
El Salvador,El Salvador,6,52,ES,SV,SLV,222,222,9998,52,1,453,ELS,6426,AMR,LAC,CAI,LAM,CAI,"DEN 1,2,3",365,50169,ELS,Preliminar,SLV,2015
French Guiana,Guayana Francesa,0,52,FG,GF,GUF,254,254,357,52,1,456,FRG,262,AMR,LAC,LCR,LAM,LCR,"DEN 1,2,4",0,2603,FRG,Preliminar,GUF,2015
Grenada,Granada,0,52,GJ,GD,GRD,308,308,25,52,1,457,GRE,111,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,25,GRE,Preliminar,GRD,2015
Guadeloupe,Guadalupe,0,52,GP,GP,GLP,312,312,40,52,1,459,GUA,470,AMR,LAC,LCR,LAM,LCR,UNKNOWN,0,201,GUA,Preliminar,GLP,2015
Guatemala,Guatemala,9,52,GT,GT,GTM,320,320,1228,52,1,458,GUT,16255,AMR,LAC,CAI,LAM,CAI,"DEN 1,2,3,4",50,18058,GUT,Preliminar,GTM,2015
Guyana,Guyana,0,52,GY,GY,GUY,328,328,388,52,1,432,GUY,808,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,388,GUY,Preliminar,GUY,2015
Haiti,Haití,0,52,HA,HT,HTI,332,332,13,52,1,460,HAI,10604,AMR,LAC,LCR,LAM,LCR,"DEN 1,2,3,4",0,130,HAI,Preliminar,HTI,2015
Honduras,Honduras,5,52,HO,HN,HND,340,340,0,52,1,462,HON,8424,AMR,LAC,CAI,LAM,CAI,UNKNOWN,1062,44834,HON,Preliminar,HND,2015
Jamaica,Jamaica,0,52,JM,JM,JAM,388,388,14,52,1,464,JAM,2813,AMR,LAC,NLC,CAR,NLC,DEN 4,0,88,JAM,Preliminar,JAM,2015
Martinique,Martinica,0,52,MB,MQ,MTQ,474,474,25,52,1,491,MAR,406,AMR,LAC,LCR,LAM,LCR,UNKNOWN,0,207,MAR,Preliminar,MTQ,2015
Mexico,México,42,52,MX,MX,MEX,484,484,26665,52,1,466,MEX,125236,AMR,LAC,CAI,LAM,MEX,"DEN 1,2,3,4",5464,219593,MEX,Preliminar,MEX,2015
Montserrat,Montserrat,0,52,MH,MS,MSR,500,500,0,52,1,465,MON,5,AMR,LAC,NLC,CAR,NLC,,0,0,MNT,Preliminar,MON,2015
Aruba,Aruba,0,52,AA,AW,ABW,533,533,206,52,1,533,ARU,112,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,335,ARU,Preliminar,ABW,2015
Nicaragua,Nicaragua,15,52,NU,NI,NIC,558,558,4082,52,1,468,NIC,6257,AMR,LAC,CAI,LAM,CAI,"DEN 2,3",15,49326,NIC,Preliminar,NIC,2015
Panama,Panamá,4,52,PM,PA,PAN,591,591,1973,52,1,470,PAN,3988,AMR,LAC,CAI,LAM,CAI,"DEN 1,2,3",6,3347,PAN,Preliminar,PAN,2015
Paraguay,Paraguay,5,52,PA,PY,PRY,600,600,5258,52,1,472,PAR,7033,AMR,LAC,SAR,LAM,SCR,"DEN 1,2,4",13,68652,PAR,Preliminar,PRY,2015
Peru,Perú,41,52,PE,PE,PER,604,604,32511,52,1,474,PER,31161,AMR,LAC,SAR,LAM,ANR,"DEN 2,3",123,35837,PER,Preliminar,PER,2015
Puerto Rico,Puerto Rico,0,52,RQ,PR,PRI,630,630,57,52,1,475,PUR,3680,AMR,LAC,LCR,LAM,LCR,"DEN 1,2,3,4",0,1867,PUR,Preliminar,PRI,2015
Saint Barthelemy,San Bartolomé,0,52,TB,BL,BLM,652,652,29,52,1,652,,9,,,,,,UNKNOWN,0,428,,Preliminar,,2015
